date,tenor,rate
2016-02-01,1_month,3.5
2016-02-01,1_week,
2016-02-01,1_year,
2016-02-01,3_month,
2016-02-01,6_month,
2016-02-01,overnight,3.16
2016-02-02,1_month,3.36
2016-02-02,1_week,3.24
2016-02-02,1_year,
2016-02-02,3_month,
2016-02-02,6_month,
2016-02-02,overnight,3.15
2016-02-03,1_month,3.36
2016-02-03,1_week,3.24
2016-02-03,1_year,
2016-02-03,3_month,
2016-02-03,6_month,
2016-02-03,overnight,3.12
2016-02-04,1_month,
2016-02-04,1_week,3.2
2016-02-04,1_year,
2016-02-04,3_month,
2016-02-04,6_month,
2016-02-04,overnight,3.1
2016-02-05,1_month,
2016-02-05,1_week,3.22
2016-02-05,1_year,
2016-02-05,3_month,
2016-02-05,6_month,
2016-02-05,overnight,3.09
2016-02-06,1_month,
2016-02-06,1_week,3.22
2016-02-06,1_year,
2016-02-06,3_month,
2016-02-06,6_month,
2016-02-06,overnight,3.09
2016-02-07,1_month,
2016-02-07,1_week,3.22
2016-02-07,1_year,
2016-02-07,3_month,
2016-02-07,6_month,
2016-02-07,overnight,3.09
2016-02-08,1_month,
2016-02-08,1_week,3.22
2016-02-08,1_year,
2016-02-08,3_month,
2016-02-08,6_month,
2016-02-08,overnight,3.09
2016-02-09,1_month,
2016-02-09,1_week,3.22
2016-02-09,1_year,
2016-02-09,3_month,
2016-02-09,6_month,
2016-02-09,overnight,3.09
2016-02-10,1_month,
2016-02-10,1_week,3.2
2016-02-10,1_year,
2016-02-10,3_month,
2016-02-10,6_month,
2016-02-10,overnight,3.14
2016-02-11,1_month,
2016-02-11,1_week,3.22
2016-02-11,1_year,
2016-02-11,3_month,
2016-02-11,6_month,
2016-02-11,overnight,3.09
2016-02-12,1_month,
2016-02-12,1_week,
2016-02-12,1_year,
2016-02-12,3_month,
2016-02-12,6_month,
2016-02-12,overnight,3.08
2016-02-13,1_month,
2016-02-13,1_week,
2016-02-13,1_year,
2016-02-13,3_month,
2016-02-13,6_month,
2016-02-13,overnight,3.08
2016-02-14,1_month,
2016-02-14,1_week,
2016-02-14,1_year,
2016-02-14,3_month,
2016-02-14,6_month,
2016-02-14,overnight,3.08
2016-02-15,1_month,3.36
2016-02-15,1_week,3.2
2016-02-15,1_year,
2016-02-15,3_month,
2016-02-15,6_month,
2016-02-15,overnight,3.1
2016-02-16,1_month,3.1
2016-02-16,1_week,3.21
2016-02-16,1_year,
2016-02-16,3_month,
2016-02-16,6_month,
2016-02-16,overnight,3.09
2016-02-17,1_month,
2016-02-17,1_week,
2016-02-17,1_year,
2016-02-17,3_month,
2016-02-17,6_month,
2016-02-17,overnight,3.1
2016-02-18,1_month,3.37
2016-02-18,1_week,3.23
2016-02-18,1_year,
2016-02-18,3_month,
