date,tenor,volume
2016-02-01,1_month,150.0
2016-02-01,1_week,
2016-02-01,1_year,
2016-02-01,3_month,
2016-02-01,6_month,
2016-02-01,other,222.0
2016-02-01,overnight,2068.13
2016-02-02,1_month,80.0
2016-02-02,1_week,300.0
2016-02-02,1_year,
2016-02-02,3_month,
2016-02-02,6_month,
2016-02-02,other,
2016-02-02,overnight,1708.7
2016-02-03,1_month,50.0
2016-02-03,1_week,155.0
2016-02-03,1_year,
2016-02-03,3_month,
2016-02-03,6_month,
2016-02-03,other,
2016-02-03,overnight,2533.36
2016-02-04,1_month,
2016-02-04,1_week,290.0
2016-02-04,1_year,
2016-02-04,3_month,
2016-02-04,6_month,
2016-02-04,other,150.0
2016-02-04,overnight,2696.38
2016-02-05,1_month,
2016-02-05,1_week,200.0
2016-02-05,1_year,
2016-02-05,3_month,
2016-02-05,6_month,
2016-02-05,other,700.0
2016-02-05,overnight,2216.19
2016-02-06,1_month,
2016-02-06,1_week,200.0
2016-02-06,1_year,
2016-02-06,3_month,
2016-02-06,6_month,
2016-02-06,other,700.0
2016-02-06,overnight,2216.19
2016-02-07,1_month,
2016-02-07,1_week,200.0
2016-02-07,1_year,
2016-02-07,3_month,
2016-02-07,6_month,
2016-02-07,other,700.0
2016-02-07,overnight,2216.19
2016-02-08,1_month,
2016-02-08,1_week,200.0
2016-02-08,1_year,
2016-02-08,3_month,
2016-02-08,6_month,
2016-02-08,other,700.0
2016-02-08,overnight,2216.19
2016-02-09,1_month,
2016-02-09,1_week,200.0
2016-02-09,1_year,
2016-02-09,3_month,
2016-02-09,6_month,
2016-02-09,other,700.0
2016-02-09,overnight,2216.19
2016-02-10,1_month,
2016-02-10,1_week,100.0
2016-02-10,1_year,
2016-02-10,3_month,
2016-02-10,6_month,
2016-02-10,other,250.0
2016-02-10,overnight,2485.55
2016-02-11,1_month,
2016-02-11,1_week,1000.0
2016-02-11,1_year,
2016-02-11,3_month,
2016-02-11,6_month,
2016-02-11,other,250.0
2016-02-11,overnight,2464.27
2016-02-12,1_month,
2016-02-12,1_week,
2016-02-12,1_year,
2016-02-12,3_month,
2016-02-12,6_month,
2016-02-12,other,400.0
2016-02-12,overnight,1944.47
2016-02-13,1_month,
2016-02-13,1_week,
2016-02-13,1_year,
2016-02-13,3_month,
2016-02-13,6_month,
2016-02-13,other,400.0
2016-02-13,overnight,1944.47
2016-02-14,1_month,
2016-02-14,1_week,
2016-02-14,1_year,
2016-02-14,3_month,
2016-02-14,6_month,
2016-02-14,other,400.0
2016-02-14,overnight,1944.47
2016-02-15,1_month,60.0
2016-02-15,1_week,190.0
2016-02-15,1_year,
2016-02-15,3_month,
2016-02-15,6_month,
2016-02-15,other,
2016-02-15,overnight,2324.53
2016-02-16,1_month,3.38
2016-02-16,1_week,300.0
2016-02-16,1_year,
2016-02-16,3_month,
2016-02-16,6_month,
2016-02-16,other,400.0
2016-02-16,overnight,1780.16
2016-02-17,1_month,
2016-02-17,1_week,
2016-02-17,1_year,
2016-02-17,3_month,
2016-02-17,6_month,
2016-02-17,other,510.0
2016-02-17,overnight,2542.95
2016-02-18,1_month,50.0
2016-02-18,1_week,180.0
2016-02-18,1_year,
2016-02-18,3_month,
2016-02-18,6_month,
2016-02-18,other,100.0
2016-02-18,overnight,1370.64
2016-02-19,1_month,
2016-02-19,1_week,50.0
2016-02-19,1_year,
2016-02-19,3_month,
2016-02-19,6_month,
2016-02-19,other,100.0
2016-02-19,overnight,2369.02
2016-02-20,1_month,
2016-02-20,1_week,50.0
2016-02-20,1_year,
2016-02-20,3_month,
2016-02-20,6_month,
2016-02-20,other,100.0
