date,myor,aggregate_volume
2022-02-16,1.71,20115.93
2022-02-17,1.71,21068.04
2022-02-18,1.73,25333.48
2022-02-21,1.75,24771.6
2022-02-22,1.71,20851.94
2022-02-23,1.7,23071.1
2022-02-24,1.72,24084.3
2022-02-25,1.74,21822.5
2022-02-28,1.75,21529.5
2022-03-01,1.71,21351.07
2022-03-02,1.72,20659.4
2022-03-03,1.72,21799.0
2022-03-04,1.75,18953.2
2022-03-07,1.7,18657.58
2022-03-08,1.75,16301.34
2022-03-09,1.75,14783.51
2022-03-10,1.7,15568.02
2022-03-11,1.7,17941.0
2022-03-14,1.75,16365.55
2022-03-15,1.74,16893.05
2022-03-16,1.71,19135.0
2022-03-17,1.71,19725.03
2022-03-18,1.71,19752.6
2022-03-21,1.75,18244.08
2022-03-22,1.71,18476.2
2022-03-23,1.75,21200.9
2022-03-24,1.74,25145.2
2022-03-25,1.71,23845.0
2022-03-28,1.73,26286.25
2022-03-29,1.7,24601.76
2022-03-30,1.74,25396.01
2022-03-31,1.75,25785.6
2022-04-01,1.72,23585.05
2022-04-04,1.73,24897.14
2022-04-05,1.74,24490.3
2022-04-06,1.75,21262.75
2022-04-07,1.7,19886.8
2022-04-08,1.74,18811.2
2022-04-11,1.7,18679.6
2022-04-12,1.75,17862.62
2022-04-13,1.75,16649.13
2022-04-14,1.75,17053.1
2022-04-15,1.69,20828.6
2022-04-18,1.75,19565.7
2022-04-20,1.75,16681.0
2022-04-21,1.7,20235.2
2022-04-22,1.71,25213.18
2022-04-25,1.75,24749.6
2022-04-26,1.71,23826.4
2022-04-27,1.71,27821.1
2022-04-28,1.75,26304.3
2022-04-29,1.74,22073.9
2022-05-05,1.74,23642.9
2022-05-06,1.75,23977.6
2022-05-09,1.73,21970.3
2022-05-10,1.69,25134.1
2022-05-11,1.94,26474.7
2022-05-12,1.99,21897.3
2022-05-13,1.96,24911.1
2022-05-17,1.92,19829.0
2022-05-18,1.95,20096.5
2022-05-19,1.96,21513.4
2022-05-20,1.96,23137.7
2022-05-23,1.96,26742.9
2022-05-24,1.99,29034.2
2022-05-25,1.99,26342.6
2022-05-26,2.0,25301.6
2022-05-27,2.0,21929.3
2022-05-30,2.0,23067.94
2022-05-31,2.0,20133.9
2022-06-01,2.0,20870.07
2022-06-02,1.96,22455.98
2022-06-03,1.95,24457.69
2022-06-07,2.0,23110.24
2022-06-08,1.96,26365.12
2022-06-09,2.0,24780.23
2022-06-10,2.0,25026.58
2022-06-13,1.96,22831.17
2022-06-14,1.98,24512.03
2022-06-15,2.0,22574.1
2022-06-16,1.95,24495.08
2022-06-17,1.99,25551.37
2022-06-20,2.0,20218.72
2022-06-21,1.96,22592.1
2022-06-22,1.99,26696.15
2022-06-23,1.99,28227.51
2022-06-24,1.97,27588.99
2022-06-27,1.99,29295.43
2022-06-28,1.97,29008.36
2022-06-29,1.96,30006.16
2022-06-30,1.97,33135.87
2022-07-01,1.99,30476.5
2022-07-04,2.0,29865.75
2022-07-05,2.0,31726.26
2022-07-06,2.24,36733.25
2022-07-07,2.25,33784.16
2022-07-08,2.23,32953.23
2022-07-12,2.24,32977.41
2022-07-13,2.24,33335.02
2022-07-14,2.25,31731.67
2022-07-15,2.23,31609.05
2022-07-18,2.21,31146.75
2022-07-19,2.25,29161.55
2022-07-20,2.25,26355.58
2022-07-21,2.25,26542.35
2022-07-22,2.24,31752.53
2022-07-25,2.25,27322.45
2022-07-26,2.23,28540.06
2022-07-27,2.22,31143.44
2022-07-28,2.25,33984.14
2022-07-29,2.25,32932.67
2022-08-01,2.25,31268.46
2022-08-02,2.25,28881.68
2022-08-03,2.23,29541.94
2022-08-04,2.24,30800.25
2022-08-05,2.25,25780.55
2022-08-08,2.25,23796.61
2022-08-09,2.24,22607.29
2022-08-10,2.22,23166.46
2022-08-11,2.24,19891.96
2022-08-12,2.25,20701.03
2022-08-15,2.21,20724.44
2022-08-16,2.25,19949.7
2022-08-17,2.23,21778.42
2022-08-18,2.25,21581.05
2022-08-19,2.21,23368.19
2022-08-22,2.25,23064.65
2022-08-23,2.25,24887.29
2022-08-24,2.22,26379.91
2022-08-25,2.22,28040.73
2022-08-26,2.22,28632.43
2022-08-29,2.22,29204.31
2022-08-30,2.24,33122.32
2022-09-01,2.25,30522.77
2022-09-02,2.22,34368.31
2022-09-05,2.25,36042.35
2022-09-06,2.25,33698.98
2022-09-07,2.25,31802.97
2022-09-08,2.47,37025.16
2022-09-09,2.5,33502.12
2022-09-12,2.5,30734.83
2022-09-13,2.5,30417.0
2022-09-14,2.5,29836.7
2022-09-15,2.46,30073.62
2022-09-19,2.5,26232.55
2022-09-20,2.48,26964.02
2022-09-21,2.5,29679.56
2022-09-22,2.5,30643.95
2022-09-23,2.5,30075.86
2022-09-26,2.5,30313.09
2022-09-27,2.5,31042.27
2022-09-28,2.5,29209.42
2022-09-29,2.5,29843.38
2022-09-30,2.5,27587.47
2022-10-03,2.5,28543.53
2022-10-04,2.49,29285.01
2022-10-05,2.5,26624.92
2022-10-06,2.5,26941.38
2022-10-07,2.5,27585.39
2022-10-11,2.5,26806.42
2022-10-12,2.5,24587.62
2022-10-13,2.5,24080.16
2022-10-14,2.5,26848.85
2022-10-17,2.5,24691.21
2022-10-18,2.5,21847.0
2022-10-19,2.46,21123.05
2022-10-20,2.46,24004.75
2022-10-21,2.45,28486.36
2022-10-25,2.5,29934.56
2022-10-26,2.5,34452.41
2022-10-27,2.46,38948.58
2022-10-28,2.5,35085.44
2022-10-31,2.48,42955.12
2022-11-01,2.5,43409.36
2022-11-02,2.5,39360.44
2022-11-03,2.75,43555.46
2022-11-04,2.75,39938.53
2022-11-07,2.75,34671.89
2022-11-08,2.75,30761.69
2022-11-09,2.75,31759.77
2022-11-10,2.75,29486.17
2022-11-11,2.72,31931.17
2022-11-14,2.75,32778.52
2022-11-15,2.75,34766.54
2022-11-16,2.75,31022.4
2022-11-17,2.73,36234.16
2022-11-21,2.75,39345.56
2022-11-22,2.75,42848.51
2022-11-23,2.73,44550.29
2022-11-24,2.75,44734.6
2022-11-25,2.75,43871.61
2022-11-29,2.75,38841.36
2022-11-30,2.73,42925.11
2022-12-01,2.75,40431.15
2022-12-02,2.75,38239.35
2022-12-05,2.75,35396.99
2022-12-06,2.73,36453.69
2022-12-07,2.73,38328.91
2022-12-08,2.73,39488.87
2022-12-09,2.75,38700.35
2022-12-12,2.75,37844.81
2022-12-13,2.75,36781.13
2022-12-14,2.75,35759.12
2022-12-15,2.75,36090.6
2022-12-16,2.75,35458.51
2022-12-19,2.75,36125.16
2022-12-20,2.75,34952.49
2022-12-21,2.75,31277.16
2022-12-22,2.74,32429.25
2022-12-23,2.73,37581.26
2022-12-27,2.75,38429.95
2022-12-28,2.75,37081.08
2022-12-29,2.75,35364.42
2022-12-30,2.74,35031.01
2023-01-03,2.74,34938.88
2023-01-04,2.74,38357.06
2023-01-05,2.74,39985.95
2023-01-06,2.75,33938.15
2023-01-09,2.72,34973.78
2023-01-10,2.74,34320.92
2023-01-11,2.75,31934.31
2023-01-12,2.73,36399.88
2023-01-13,2.72,39685.58
2023-01-16,2.74,37924.25
2023-01-17,2.73,46875.6
2023-01-18,2.74,46658.95
2023-01-19,2.75,46811.6
2023-01-20,2.73,45492.69
2023-01-25,2.75,46311.1
2023-01-26,2.74,47855.72
2023-01-27,2.74,35091.72
2023-01-30,2.74,30684.9
2023-01-31,2.72,31835.94
2023-02-02,2.72,30386.91
2023-02-03,2.71,31471.9
2023-02-07,2.75,28371.1
2023-02-08,2.74,28121.6
2023-02-09,2.73,29214.92
2023-02-10,2.75,30723.71
2023-02-13,2.73,29851.93
2023-02-14,2.75,27809.14
2023-02-15,2.73,28984.93
2023-02-16,2.73,30134.65
2023-02-17,2.75,33121.65
2023-02-20,2.74,32159.64
2023-02-21,2.75,32676.64
2023-02-22,2.75,35214.81
2023-02-23,2.75,32410.73
2023-02-24,2.74,32638.28
2023-02-27,2.74,31296.93
2023-02-28,2.75,23479.35
2023-03-01,2.73,32125.37
2023-03-02,2.75,29707.35
2023-03-03,2.75,29217.45
2023-03-06,2.75,25200.92
2023-03-07,2.75,25286.25
2023-03-08,2.72,23469.18
2023-03-09,2.75,28346.94
2023-03-10,2.74,23661.86
2023-03-13,2.74,22133.19
2023-03-14,2.75,19040.59
2023-03-15,2.75,18555.12
2023-03-16,2.72,19111.0
2023-03-17,2.75,22427.71
2023-03-20,2.72,23774.54
2023-03-21,2.75,22012.37
2023-03-22,2.75,24810.48
2023-03-23,2.75,26001.42
2023-03-24,2.75,23450.87
2023-03-27,2.72,28123.17
2023-03-28,2.75,28221.42
2023-03-29,2.75,27931.6
2023-03-30,2.72,32101.1
2023-03-31,2.75,30863.12
2023-04-03,2.75,28858.96
2023-04-04,2.72,30908.24
2023-04-05,2.74,31151.93
2023-04-06,2.74,30405.04
2023-04-07,2.75,30057.79
2023-04-10,2.75,28804.75
2023-04-11,2.75,23484.38
2023-04-12,2.75,24659.32
2023-04-13,2.75,22302.45
2023-04-14,2.71,21043.49
2023-04-17,2.75,22567.0
2023-04-18,2.75,20312.96
2023-04-19,2.71,20772.12
2023-04-20,2.74,17859.84
2023-04-25,2.75,17269.15
2023-04-26,2.74,19886.4
2023-04-27,2.71,23309.83
2023-04-28,2.75,18072.84
2023-05-02,2.72,20154.34
2023-05-03,2.99,19192.9
2023-05-05,2.96,21143.73
2023-05-08,2.99,21171.55
2023-05-09,2.97,20420.79
2023-05-10,2.95,19781.36
2023-05-11,2.96,20951.21
2023-05-12,3.0,18348.31
2023-05-15,2.96,23140.12
2023-05-16,2.98,23200.95
2023-05-17,3.0,26012.18
2023-05-18,3.0,25907.94
2023-05-19,3.0,23443.45
2023-05-22,3.0,23207.89
2023-05-23,3.0,23977.42
2023-05-24,2.96,22800.89
2023-05-25,3.0,23709.87
2023-05-26,2.96,22511.74
2023-05-29,3.0,23117.78
2023-05-30,3.0,22349.22
2023-05-31,2.96,25908.61
2023-06-01,2.98,32130.02
2023-06-02,2.98,32565.79
2023-06-06,2.97,32191.04
2023-06-07,2.97,34936.22
2023-06-08,3.0,32975.9
2023-06-09,2.97,32788.1
2023-06-12,3.0,31503.8
2023-06-13,3.0,30014.42
2023-06-14,2.97,31117.96
2023-06-15,3.0,30871.29
2023-06-16,3.0,28668.72
2023-06-19,3.0,27904.55
2023-06-20,3.0,26248.42
2023-06-21,3.0,27260.42
2023-06-22,2.96,28542.06
2023-06-23,3.0,27235.49
2023-06-26,3.0,25818.35
2023-06-27,3.0,27646.06
2023-06-28,3.0,24160.29
2023-06-30,3.0,28755.71
2023-07-03,3.0,25432.79
2023-07-04,3.0,23083.28
2023-07-05,3.02,17267.22
2023-07-06,3.0,23139.24
2023-07-07,3.01,26501.54
2023-07-10,3.0,24689.95
2023-07-11,2.99,28819.71
2023-07-12,3.0,24746.57
2023-07-13,3.0,24278.06
2023-07-14,3.0,26547.9
2023-07-17,2.99,23739.42
2023-07-18,2.98,25291.98
2023-07-20,3.0,26201.83
2023-07-21,3.0,26474.12
2023-07-24,3.0,28209.1
2023-07-25,3.0,26275.5
2023-07-26,3.0,27195.97
2023-07-27,3.0,24920.24
2023-07-28,3.0,23282.41
2023-07-31,3.0,27906.85
2023-08-01,3.0,26496.05
2023-08-02,3.0,22030.84
2023-08-03,3.0,23064.61
2023-08-04,2.99,24126.35
2023-08-07,3.0,23690.57
2023-08-08,3.0,19831.44
2023-08-09,3.0,21696.11
2023-08-10,3.0,22503.32
2023-08-11,3.0,20585.4
2023-08-14,3.0,17593.01
2023-08-15,3.0,18565.75
2023-08-16,3.0,17491.5
2023-08-17,3.0,17148.43
2023-08-18,3.0,15325.33
2023-08-21,2.98,19496.91
2023-08-22,2.98,20153.33
2023-08-23,3.0,21417.16
2023-08-24,3.0,24147.26
2023-08-25,2.98,23032.81
2023-08-28,3.0,22443.32
2023-08-29,2.97,23573.08
2023-08-30,3.0,19333.59
2023-09-01,3.0,22715.03
2023-09-04,3.0,20390.02
2023-09-05,2.97,22836.33
2023-09-06,2.99,24118.37
2023-09-07,3.0,24033.36
2023-09-08,3.0,25093.4
2023-09-11,3.0,22293.01
2023-09-12,3.0,20149.82
2023-09-13,3.0,18380.45
2023-09-14,3.0,21124.56
2023-09-15,3.0,22188.45
2023-09-18,3.0,20139.76
